,gene_ids,feature_types,n_cells
GRCh38___HAP1,GRCh38___ENSG00000173805,Gene Expression,3
GRCh38___JUP,GRCh38___ENSG00000173801,Gene Expression,3017
GRCh38___P3H4,GRCh38___ENSG00000141696,Gene Expression,815
GRCh38___FKBP10,GRCh38___ENSG00000141756,Gene Expression,16
GRCh38___NT5C3B,GRCh38___ENSG00000141698,Gene Expression,4139
GRCh38___KLHL10,GRCh38___ENSG00000161594,Gene Expression,6
GRCh38___KLHL11,GRCh38___ENSG00000178502,Gene Expression,3566
GRCh38___ACLY,GRCh38___ENSG00000131473,Gene Expression,11780
GRCh38___AC125257.2,GRCh38___ENSG00000274630,Gene Expression,3
GRCh38___TTC25,GRCh38___ENSG00000204815,Gene Expression,81
GRCh38___CNP,GRCh38___ENSG00000173786,Gene Expression,9149
GRCh38___DNAJC7,GRCh38___ENSG00000168259,Gene Expression,29765
GRCh38___NKIRAS2,GRCh38___ENSG00000168256,Gene Expression,12064
GRCh38___ZNF385C,GRCh38___ENSG00000187595,Gene Expression,41
GRCh38___C17orf113,GRCh38___ENSG00000267221,Gene Expression,32
GRCh38___DHX58,GRCh38___ENSG00000108771,Gene Expression,4873
GRCh38___KAT2A,GRCh38___ENSG00000108773,Gene Expression,2829
GRCh38___HSPB9,GRCh38___ENSG00000260325,Gene Expression,15
GRCh38___RAB5C,GRCh38___ENSG00000108774,Gene Expression,48779
GRCh38___AC099811.3,GRCh38___ENSG00000267658,Gene Expression,8
GRCh38___KCNH4,GRCh38___ENSG00000089558,Gene Expression,92
GRCh38___HCRT,GRCh38___ENSG00000161610,Gene Expression,267
GRCh38___GHDC,GRCh38___ENSG00000167925,Gene Expression,5506
GRCh38___STAT5B,GRCh38___ENSG00000173757,Gene Expression,9495
GRCh38___AC099811.4,GRCh38___ENSG00000267758,Gene Expression,80
GRCh38___STAT5A,GRCh38___ENSG00000126561,Gene Expression,9554
GRCh38___STAT3,GRCh38___ENSG00000168610,Gene Expression,44894
GRCh38___CAVIN1,GRCh38___ENSG00000177469,Gene Expression,75
GRCh38___ATP6V0A1,GRCh38___ENSG00000033627,Gene Expression,4722
GRCh38___NAGLU,GRCh38___ENSG00000108784,Gene Expression,1703
GRCh38___HSD17B1,GRCh38___ENSG00000108786,Gene Expression,452
GRCh38___AC067852.2,GRCh38___ENSG00000266962,Gene Expression,1348
GRCh38___COASY,GRCh38___ENSG00000068120,Gene Expression,13171
GRCh38___MLX,GRCh38___ENSG00000108788,Gene Expression,18712
GRCh38___PSMC3IP,GRCh38___ENSG00000131470,Gene Expression,1355
GRCh38___RETREG3,GRCh38___ENSG00000141699,Gene Expression,7894
GRCh38___TUBG1,GRCh38___ENSG00000131462,Gene Expression,4711
GRCh38___TUBG2,GRCh38___ENSG00000037042,Gene Expression,1647
GRCh38___PLEKHH3,GRCh38___ENSG00000068137,Gene Expression,100
GRCh38___CCR10,GRCh38___ENSG00000184451,Gene Expression,261
GRCh38___AC100793.2,GRCh38___ENSG00000267042,Gene Expression,63
GRCh38___CNTNAP1,GRCh38___ENSG00000108797,Gene Expression,45
GRCh38___AC100793.3,GRCh38___ENSG00000267765,Gene Expression,10
GRCh38___EZH1,GRCh38___ENSG00000108799,Gene Expression,9813
GRCh38___RAMP2-AS1,GRCh38___ENSG00000197291,Gene Expression,4
GRCh38___RAMP2,GRCh38___ENSG00000131477,Gene Expression,11
GRCh38___VPS25,GRCh38___ENSG00000131475,Gene Expression,15046
GRCh38___WNK4,GRCh38___ENSG00000126562,Gene Expression,15
GRCh38___COA3,GRCh38___ENSG00000183978,Gene Expression,15804
GRCh38___CNTD1,GRCh38___ENSG00000176563,Gene Expression,52
GRCh38___BECN1,GRCh38___ENSG00000126581,Gene Expression,26005
GRCh38___PSME3,GRCh38___ENSG00000131467,Gene Expression,15971
GRCh38___AOC2,GRCh38___ENSG00000131480,Gene Expression,67
GRCh38___AOC3,GRCh38___ENSG00000131471,Gene Expression,25
GRCh38___LINC00671,GRCh38___ENSG00000213373,Gene Expression,30
GRCh38___PTGES3L-AARSD1,GRCh38___ENSG00000108825,Gene Expression,45
GRCh38___AARSD1,GRCh38___ENSG00000266967,Gene Expression,9460
GRCh38___PTGES3L,GRCh38___ENSG00000267060,Gene Expression,12
GRCh38___RUNDC1,GRCh38___ENSG00000198863,Gene Expression,2827
GRCh38___RPL27,GRCh38___ENSG00000131469,Gene Expression,81601
GRCh38___IFI35,GRCh38___ENSG00000068079,Gene Expression,31160
GRCh38___VAT1,GRCh38___ENSG00000108828,Gene Expression,6367
GRCh38___RND2,GRCh38___ENSG00000108830,Gene Expression,34
GRCh38___BRCA1,GRCh38___ENSG00000012048,Gene Expression,3546
GRCh38___AC060780.1,GRCh38___ENSG00000267002,Gene Expression,2427
GRCh38___NBR1,GRCh38___ENSG00000188554,Gene Expression,12215
GRCh38___TMEM106A,GRCh38___ENSG00000184988,Gene Expression,3338
GRCh38___LINC00854,GRCh38___ENSG00000236383,Gene Expression,67
GRCh38___LINC00910,GRCh38___ENSG00000188825,Gene Expression,698
GRCh38___ARL4D,GRCh38___ENSG00000175906,Gene Expression,2752
GRCh38___DHX8,GRCh38___ENSG00000067596,Gene Expression,16581
GRCh38___MEOX1,GRCh38___ENSG00000005102,Gene Expression,167
GRCh38___DUSP3,GRCh38___ENSG00000108861,Gene Expression,5275
GRCh38___CFAP97D1,GRCh38___ENSG00000231256,Gene Expression,10
GRCh38___MPP3,GRCh38___ENSG00000161647,Gene Expression,219
GRCh38___CD300LG,GRCh38___ENSG00000161649,Gene Expression,4
GRCh38___MPP2,GRCh38___ENSG00000108852,Gene Expression,32
GRCh38___AC007993.3,GRCh38___ENSG00000282199,Gene Expression,75
GRCh38___FAM215A,GRCh38___ENSG00000267496,Gene Expression,142
GRCh38___LINC01976,GRCh38___ENSG00000261514,Gene Expression,11
GRCh38___PPY,GRCh38___ENSG00000108849,Gene Expression,5
GRCh38___PYY,GRCh38___ENSG00000131096,Gene Expression,5
GRCh38___NAGS,GRCh38___ENSG00000161653,Gene Expression,287
GRCh38___TMEM101,GRCh38___ENSG00000091947,Gene Expression,9065
GRCh38___LSM12,GRCh38___ENSG00000161654,Gene Expression,22688
GRCh38___G6PC3,GRCh38___ENSG00000141349,Gene Expression,7571
GRCh38___HDAC5,GRCh38___ENSG00000108840,Gene Expression,7290
GRCh38___C17orf53,GRCh38___ENSG00000125319,Gene Expression,992
GRCh38___ASB16,GRCh38___ENSG00000161664,Gene Expression,46
GRCh38___ASB16-AS1,GRCh38___ENSG00000267080,Gene Expression,4259
GRCh38___TMUB2,GRCh38___ENSG00000168591,Gene Expression,16197
GRCh38___ATXN7L3,GRCh38___ENSG00000087152,Gene Expression,5976
GRCh38___AC004596.1,GRCh38___ENSG00000267394,Gene Expression,5
GRCh38___UBTF,GRCh38___ENSG00000108312,Gene Expression,16914
GRCh38___AC003102.1,GRCh38___ENSG00000260793,Gene Expression,1756
GRCh38___SLC4A1,GRCh38___ENSG00000004939,Gene Expression,39
GRCh38___AC003043.2,GRCh38___ENSG00000285486,Gene Expression,4
GRCh38___RUNDC3A-AS1,GRCh38___ENSG00000267750,Gene Expression,37
GRCh38___RUNDC3A,GRCh38___ENSG00000108309,Gene Expression,33
GRCh38___SLC25A39,GRCh38___ENSG00000013306,Gene Expression,26212
GRCh38___GRN,GRCh38___ENSG00000030582,Gene Expression,28907
GRCh38___FAM171A2,GRCh38___ENSG00000161682,Gene Expression,13
GRCh38___ITGA2B,GRCh38___ENSG00000005961,Gene Expression,1346
GRCh38___GPATCH8,GRCh38___ENSG00000186566,Gene Expression,19675
GRCh38___FZD2,GRCh38___ENSG00000180340,Gene Expression,217
GRCh38___MEIOC,GRCh38___ENSG00000180336,Gene Expression,248
GRCh38___CCDC43,GRCh38___ENSG00000180329,Gene Expression,11829
GRCh38___AC091152.2,GRCh38___ENSG00000267160,Gene Expression,35
GRCh38___DBF4B,GRCh38___ENSG00000161692,Gene Expression,1650
GRCh38___ADAM11,GRCh38___ENSG00000073670,Gene Expression,37
GRCh38___AC005180.1,GRCh38___ENSG00000267405,Gene Expression,19
GRCh38___GJC1,GRCh38___ENSG00000182963,Gene Expression,13
GRCh38___HIGD1B,GRCh38___ENSG00000131097,Gene Expression,12
GRCh38___EFTUD2,GRCh38___ENSG00000108883,Gene Expression,13448
GRCh38___CCDC103,GRCh38___ENSG00000167131,Gene Expression,93
GRCh38___FAM187A,GRCh38___ENSG00000214447,Gene Expression,3
GRCh38___GFAP,GRCh38___ENSG00000131095,Gene Expression,9
GRCh38___KIF18B,GRCh38___ENSG00000186185,Gene Expression,496
GRCh38___AC015936.1,GRCh38___ENSG00000267334,Gene Expression,77
GRCh38___C1QL1,GRCh38___ENSG00000131094,Gene Expression,11
GRCh38___DCAKD,GRCh38___ENSG00000172992,Gene Expression,3666
GRCh38___NMT1,GRCh38___ENSG00000136448,Gene Expression,13757
GRCh38___PLCD3,GRCh38___ENSG00000161714,Gene Expression,206
GRCh38___ACBD4,GRCh38___ENSG00000181513,Gene Expression,2825
GRCh38___AC142472.1,GRCh38___ENSG00000276728,Gene Expression,298
GRCh38___HEXIM1,GRCh38___ENSG00000186834,Gene Expression,7843
GRCh38___AC138150.1,GRCh38___ENSG00000224505,Gene Expression,2628
GRCh38___HEXIM2,GRCh38___ENSG00000168517,Gene Expression,1311
GRCh38___AC138150.2,GRCh38___ENSG00000267288,Gene Expression,188
GRCh38___AC008105.3,GRCh38___ENSG00000267121,Gene Expression,2799
GRCh38___FMNL1,GRCh38___ENSG00000184922,Gene Expression,34148
GRCh38___AC008105.1,GRCh38___ENSG00000233175,Gene Expression,155
GRCh38___MAP3K14-AS1,GRCh38___ENSG00000267278,Gene Expression,709
GRCh38___SPATA32,GRCh38___ENSG00000184361,Gene Expression,4
GRCh38___MAP3K14,GRCh38___ENSG00000006062,Gene Expression,6287
GRCh38___ARHGAP27,GRCh38___ENSG00000159314,Gene Expression,11657
GRCh38___AC003070.1,GRCh38___ENSG00000267344,Gene Expression,14
GRCh38___PLEKHM1,GRCh38___ENSG00000225190,Gene Expression,15775
GRCh38___AC091132.1,GRCh38___ENSG00000131484,Gene Expression,25
GRCh38___AC091132.5,GRCh38___ENSG00000267198,Gene Expression,101
GRCh38___LINC02210-CRHR1,GRCh38___ENSG00000263715,Gene Expression,3664
GRCh38___MAPT,GRCh38___ENSG00000186868,Gene Expression,195
GRCh38___KANSL1,GRCh38___ENSG00000120071,Gene Expression,21468
GRCh38___CR936218.1,GRCh38___ENSG00000262372,Gene Expression,10
GRCh38___KANSL1-AS1,GRCh38___ENSG00000214401,Gene Expression,18623
GRCh38___ARL17B,GRCh38___ENSG00000228696,Gene Expression,1156
GRCh38___LRRC37A,GRCh38___ENSG00000176681,Gene Expression,921
GRCh38___LRRC37A2,GRCh38___ENSG00000238083,Gene Expression,4182
GRCh38___ARL17A,GRCh38___ENSG00000185829,Gene Expression,2137
GRCh38___FAM215B,GRCh38___ENSG00000232300,Gene Expression,2467
GRCh38___NSF,GRCh38___ENSG00000073969,Gene Expression,17444
GRCh38___WNT3,GRCh38___ENSG00000108379,Gene Expression,3
GRCh38___AC005670.1,GRCh38___ENSG00000261886,Gene Expression,50
GRCh38___GOSR2,GRCh38___ENSG00000108433,Gene Expression,6528
GRCh38___AC005670.2,GRCh38___ENSG00000262633,Gene Expression,81
GRCh38___RPRML,GRCh38___ENSG00000179673,Gene Expression,4
GRCh38___CDC27,GRCh38___ENSG00000004897,Gene Expression,13021
GRCh38___AC002558.2,GRCh38___ENSG00000261872,Gene Expression,12
GRCh38___MYL4,GRCh38___ENSG00000198336,Gene Expression,120
GRCh38___ITGB3,GRCh38___ENSG00000259207,Gene Expression,591
GRCh38___AC068234.2,GRCh38___ENSG00000263293,Gene Expression,14
GRCh38___EFCAB13,GRCh38___ENSG00000178852,Gene Expression,1309
GRCh38___AC040934.1,GRCh38___ENSG00000253347,Gene Expression,5
GRCh38___NPEPPS,GRCh38___ENSG00000141279,Gene Expression,20778
GRCh38___AC025682.1,GRCh38___ENSG00000263766,Gene Expression,330
GRCh38___KPNB1,GRCh38___ENSG00000108424,Gene Expression,36286
GRCh38___AC015674.1,GRCh38___ENSG00000264558,Gene Expression,29
GRCh38___TBKBP1,GRCh38___ENSG00000198933,Gene Expression,3068
GRCh38___TBX21,GRCh38___ENSG00000073861,Gene Expression,9508
GRCh38___OSBPL7,GRCh38___ENSG00000006025,Gene Expression,8874
GRCh38___MRPL10,GRCh38___ENSG00000159111,Gene Expression,35466
GRCh38___LRRC46,GRCh38___ENSG00000141294,Gene Expression,311
GRCh38___SCRN2,GRCh38___ENSG00000141295,Gene Expression,15358
GRCh38___SP6,GRCh38___ENSG00000189120,Gene Expression,4
GRCh38___AC018521.7,GRCh38___ENSG00000266821,Gene Expression,10
GRCh38___SP2,GRCh38___ENSG00000167182,Gene Expression,9789
GRCh38___SP2-AS1,GRCh38___ENSG00000234494,Gene Expression,154
GRCh38___PNPO,GRCh38___ENSG00000108439,Gene Expression,3880
GRCh38___AC018521.2,GRCh38___ENSG00000264019,Gene Expression,9
GRCh38___CDK5RAP3,GRCh38___ENSG00000108465,Gene Expression,28698
GRCh38___COPZ2,GRCh38___ENSG00000005243,Gene Expression,216
GRCh38___NFE2L1,GRCh38___ENSG00000082641,Gene Expression,5682
GRCh38___AC004477.3,GRCh38___ENSG00000278765,Gene Expression,9
GRCh38___CBX1,GRCh38___ENSG00000108468,Gene Expression,10881
GRCh38___SNX11,GRCh38___ENSG00000002919,Gene Expression,5854
GRCh38___SKAP1,GRCh38___ENSG00000141293,Gene Expression,38010
GRCh38___SKAP1-AS1,GRCh38___ENSG00000263787,Gene Expression,6
GRCh38___AC036222.1,GRCh38___ENSG00000264451,Gene Expression,4
GRCh38___HOXB2,GRCh38___ENSG00000173917,Gene Expression,3263
GRCh38___HOXB-AS1,GRCh38___ENSG00000230148,Gene Expression,754
GRCh38___HOXB3,GRCh38___ENSG00000120093,Gene Expression,466
GRCh38___HOXB-AS3,GRCh38___ENSG00000233101,Gene Expression,79
GRCh38___HOXB4,GRCh38___ENSG00000182742,Gene Expression,1166
GRCh38___HOXB5,GRCh38___ENSG00000120075,Gene Expression,30
GRCh38___HOXB6,GRCh38___ENSG00000108511,Gene Expression,177
GRCh38___HOXB7,GRCh38___ENSG00000260027,Gene Expression,1277
GRCh38___HOXB8,GRCh38___ENSG00000120068,Gene Expression,3
GRCh38___HOXB9,GRCh38___ENSG00000170689,Gene Expression,38
GRCh38___AC103702.2,GRCh38___ENSG00000272763,Gene Expression,3313
GRCh38___LINC02086,GRCh38___ENSG00000244649,Gene Expression,569
GRCh38___CALCOCO2,GRCh38___ENSG00000136436,Gene Expression,32490
GRCh38___ATP5MC1,GRCh38___ENSG00000159199,Gene Expression,28632
GRCh38___UBE2Z,GRCh38___ENSG00000159202,Gene Expression,12782
GRCh38___SNF8,GRCh38___ENSG00000159210,Gene Expression,10080
GRCh38___AC091133.1,GRCh38___ENSG00000230532,Gene Expression,22
GRCh38___IGF2BP1,GRCh38___ENSG00000159217,Gene Expression,4
GRCh38___GNGT2,GRCh38___ENSG00000167083,Gene Expression,8015
GRCh38___ABI3,GRCh38___ENSG00000108798,Gene Expression,26051
GRCh38___PHOSPHO1,GRCh38___ENSG00000173868,Gene Expression,70
GRCh38___ZNF652,GRCh38___ENSG00000198740,Gene Expression,6895
GRCh38___AC091180.2,GRCh38___ENSG00000248714,Gene Expression,409
GRCh38___AC091180.5,GRCh38___ENSG00000262039,Gene Expression,24
GRCh38___AC091180.4,GRCh38___ENSG00000250948,Gene Expression,7
GRCh38___PHB,GRCh38___ENSG00000167085,Gene Expression,25265
GRCh38___AC091180.3,GRCh38___ENSG00000250186,Gene Expression,66
GRCh38___NGFR,GRCh38___ENSG00000064300,Gene Expression,175
GRCh38___SPOP,GRCh38___ENSG00000121067,Gene Expression,12247
GRCh38___SLC35B1,GRCh38___ENSG00000121073,Gene Expression,16710
GRCh38___AC015795.1,GRCh38___ENSG00000250751,Gene Expression,7
GRCh38___FAM117A,GRCh38___ENSG00000121104,Gene Expression,4682
GRCh38___KAT7,GRCh38___ENSG00000136504,Gene Expression,18705
GRCh38___FLJ45513,GRCh38___ENSG00000204584,Gene Expression,106
GRCh38___DLX4,GRCh38___ENSG00000108813,Gene Expression,145
GRCh38___DLX3,GRCh38___ENSG00000064195,Gene Expression,4
GRCh38___ITGA3,GRCh38___ENSG00000005884,Gene Expression,187
GRCh38___AC002401.4,GRCh38___ENSG00000276851,Gene Expression,12
GRCh38___PDK2,GRCh38___ENSG00000005882,Gene Expression,5870
GRCh38___SAMD14,GRCh38___ENSG00000167100,Gene Expression,91
GRCh38___PPP1R9B,GRCh38___ENSG00000108819,Gene Expression,12052
GRCh38___AC002401.1,GRCh38___ENSG00000236472,Gene Expression,10
GRCh38___SGCA,GRCh38___ENSG00000108823,Gene Expression,147
GRCh38___COL1A1,GRCh38___ENSG00000108821,Gene Expression,220
GRCh38___TMEM92-AS1,GRCh38___ENSG00000251179,Gene Expression,3
GRCh38___XYLT2,GRCh38___ENSG00000015532,Gene Expression,1590
GRCh38___MRPL27,GRCh38___ENSG00000108826,Gene Expression,16226
GRCh38___EME1,GRCh38___ENSG00000154920,Gene Expression,486
GRCh38___LRRC59,GRCh38___ENSG00000108829,Gene Expression,20892
GRCh38___AC004707.1,GRCh38___ENSG00000253102,Gene Expression,23
GRCh38___ACSF2,GRCh38___ENSG00000167107,Gene Expression,2419
GRCh38___CHAD,GRCh38___ENSG00000136457,Gene Expression,23
GRCh38___RSAD1,GRCh38___ENSG00000136444,Gene Expression,10235
GRCh38___MYCBPAP,GRCh38___ENSG00000136449,Gene Expression,650
GRCh38___EPN3,GRCh38___ENSG00000049283,Gene Expression,7
GRCh38___SPATA20,GRCh38___ENSG00000006282,Gene Expression,7136
GRCh38___CACNA1G,GRCh38___ENSG00000006283,Gene Expression,28
GRCh38___ABCC3,GRCh38___ENSG00000108846,Gene Expression,2784
GRCh38___ANKRD40,GRCh38___ENSG00000154945,Gene Expression,2266
GRCh38___AC005921.2,GRCh38___ENSG00000262967,Gene Expression,68
GRCh38___LUC7L3,GRCh38___ENSG00000108848,Gene Expression,41334
GRCh38___LINC00483,GRCh38___ENSG00000167117,Gene Expression,14
GRCh38___TOB1,GRCh38___ENSG00000141232,Gene Expression,25646
GRCh38___AC005920.4,GRCh38___ENSG00000262006,Gene Expression,5
GRCh38___AC005920.1,GRCh38___ENSG00000247011,Gene Expression,119
GRCh38___SPAG9,GRCh38___ENSG00000008294,Gene Expression,17285
GRCh38___NME1,GRCh38___ENSG00000239672,Gene Expression,13626
GRCh38___NME1-NME2,GRCh38___ENSG00000011052,Gene Expression,311
GRCh38___NME2,GRCh38___ENSG00000243678,Gene Expression,62914
GRCh38___MBTD1,GRCh38___ENSG00000011258,Gene Expression,2749
GRCh38___UTP18,GRCh38___ENSG00000011260,Gene Expression,14463
GRCh38___TOM1L1,GRCh38___ENSG00000141198,Gene Expression,40
GRCh38___COX11,GRCh38___ENSG00000166260,Gene Expression,10517
GRCh38___STXBP4,GRCh38___ENSG00000166263,Gene Expression,1594
GRCh38___HLF,GRCh38___ENSG00000108924,Gene Expression,238
GRCh38___MMD,GRCh38___ENSG00000108960,Gene Expression,5668
GRCh38___SMIM36,GRCh38___ENSG00000261873,Gene Expression,5
GRCh38___PCTP,GRCh38___ENSG00000141179,Gene Expression,4184
GRCh38___NOG,GRCh38___ENSG00000183691,Gene Expression,20
GRCh38___C17orf67,GRCh38___ENSG00000214226,Gene Expression,731
GRCh38___DGKE,GRCh38___ENSG00000153933,Gene Expression,6888
GRCh38___TRIM25,GRCh38___ENSG00000121060,Gene Expression,11785
GRCh38___AC015912.1,GRCh38___ENSG00000262112,Gene Expression,148
GRCh38___AC015912.3,GRCh38___ENSG00000274213,Gene Expression,8185
GRCh38___COIL,GRCh38___ENSG00000121058,Gene Expression,18818
GRCh38___SCPEP1,GRCh38___ENSG00000121064,Gene Expression,15033
GRCh38___AC007114.1,GRCh38___ENSG00000263004,Gene Expression,942
GRCh38___AKAP1,GRCh38___ENSG00000121057,Gene Expression,1997
GRCh38___AC007114.2,GRCh38___ENSG00000263089,Gene Expression,47
GRCh38___MSI2,GRCh38___ENSG00000153944,Gene Expression,10689
GRCh38___AC007431.1,GRCh38___ENSG00000263499,Gene Expression,3
GRCh38___MRPS23,GRCh38___ENSG00000181610,Gene Expression,13167
GRCh38___CUEDC1,GRCh38___ENSG00000180891,Gene Expression,662
GRCh38___VEZF1,GRCh38___ENSG00000136451,Gene Expression,17311
GRCh38___AC015813.2,GRCh38___ENSG00000266086,Gene Expression,81
GRCh38___AC015813.1,GRCh38___ENSG00000264112,Gene Expression,1790
GRCh38___SRSF1,GRCh38___ENSG00000136450,Gene Expression,20598
GRCh38___DYNLL2,GRCh38___ENSG00000264364,Gene Expression,10030
GRCh38___OR4D1,GRCh38___ENSG00000141194,Gene Expression,1504
GRCh38___EPX,GRCh38___ENSG00000121053,Gene Expression,12
GRCh38___AC005962.1,GRCh38___ENSG00000278627,Gene Expression,8
GRCh38___MKS1,GRCh38___ENSG00000011143,Gene Expression,1457
GRCh38___LPO,GRCh38___ENSG00000167419,Gene Expression,32
GRCh38___MPO,GRCh38___ENSG00000005381,Gene Expression,490
GRCh38___TSPOAP1,GRCh38___ENSG00000005379,Gene Expression,7006
GRCh38___TSPOAP1-AS1,GRCh38___ENSG00000265148,Gene Expression,5785
GRCh38___AC004687.1,GRCh38___ENSG00000265206,Gene Expression,26904
GRCh38___SUPT4H1,GRCh38___ENSG00000213246,Gene Expression,39114
GRCh38___RNF43,GRCh38___ENSG00000108375,Gene Expression,369
GRCh38___HSF5,GRCh38___ENSG00000176160,Gene Expression,992
GRCh38___MTMR4,GRCh38___ENSG00000108389,Gene Expression,5081
GRCh38___SEPT4-AS1,GRCh38___ENSG00000264672,Gene Expression,21
GRCh38___SEPT4,GRCh38___ENSG00000108387,Gene Expression,518
GRCh38___TEX14,GRCh38___ENSG00000121101,Gene Expression,130
GRCh38___RAD51C,GRCh38___ENSG00000108384,Gene Expression,9165
GRCh38___PPM1E,GRCh38___ENSG00000175175,Gene Expression,5
GRCh38___TRIM37,GRCh38___ENSG00000108395,Gene Expression,7261
GRCh38___AC099850.1,GRCh38___ENSG00000224738,Gene Expression,540
GRCh38___SKA2,GRCh38___ENSG00000182628,Gene Expression,14808
GRCh38___PRR11,GRCh38___ENSG00000068489,Gene Expression,3356
GRCh38___AC099850.3,GRCh38___ENSG00000265415,Gene Expression,4
GRCh38___SMG8,GRCh38___ENSG00000167447,Gene Expression,2306
GRCh38___GDPD1,GRCh38___ENSG00000153982,Gene Expression,1217
GRCh38___YPEL2,GRCh38___ENSG00000175155,Gene Expression,11033
GRCh38___DHX40,GRCh38___ENSG00000108406,Gene Expression,10334
GRCh38___AC091271.1,GRCh38___ENSG00000273702,Gene Expression,4108
GRCh38___CLTC,GRCh38___ENSG00000141367,Gene Expression,23159
GRCh38___PTRH2,GRCh38___ENSG00000141378,Gene Expression,5066
GRCh38___VMP1,GRCh38___ENSG00000062716,Gene Expression,25877
GRCh38___TUBD1,GRCh38___ENSG00000108423,Gene Expression,2299
GRCh38___RPS6KB1,GRCh38___ENSG00000108443,Gene Expression,11125
GRCh38___RNFT1,GRCh38___ENSG00000189050,Gene Expression,9589
GRCh38___RNFT1-DT,GRCh38___ENSG00000267302,Gene Expression,579
GRCh38___HEATR6,GRCh38___ENSG00000068097,Gene Expression,4918
GRCh38___AC025048.4,GRCh38___ENSG00000267416,Gene Expression,273
GRCh38___USP32,GRCh38___ENSG00000170832,Gene Expression,6498
GRCh38___C17orf64,GRCh38___ENSG00000141371,Gene Expression,28
GRCh38___APPBP2,GRCh38___ENSG00000062725,Gene Expression,9650
GRCh38___AC011921.1,GRCh38___ENSG00000259349,Gene Expression,185
GRCh38___PPM1D,GRCh38___ENSG00000170836,Gene Expression,9284
GRCh38___BCAS3,GRCh38___ENSG00000141376,Gene Expression,5410
GRCh38___TBX2,GRCh38___ENSG00000121068,Gene Expression,5
GRCh38___NACA2,GRCh38___ENSG00000253506,Gene Expression,9
GRCh38___BRIP1,GRCh38___ENSG00000136492,Gene Expression,1896
GRCh38___INTS2,GRCh38___ENSG00000108506,Gene Expression,2831
GRCh38___MED13,GRCh38___ENSG00000108510,Gene Expression,13861
GRCh38___METTL2A,GRCh38___ENSG00000087995,Gene Expression,4599
GRCh38___TLK2,GRCh38___ENSG00000146872,Gene Expression,5843
GRCh38___AC080038.2,GRCh38___ENSG00000277463,Gene Expression,6
GRCh38___AC080038.1,GRCh38___ENSG00000274565,Gene Expression,18
GRCh38___MRC2,GRCh38___ENSG00000011028,Gene Expression,86
GRCh38___MARCH10,GRCh38___ENSG00000173838,Gene Expression,75
GRCh38___TANC2,GRCh38___ENSG00000170921,Gene Expression,856
GRCh38___CYB561,GRCh38___ENSG00000008283,Gene Expression,8143
GRCh38___ACE,GRCh38___ENSG00000159640,Gene Expression,562
GRCh38___DCAF7,GRCh38___ENSG00000136485,Gene Expression,21466
GRCh38___TACO1,GRCh38___ENSG00000136463,Gene Expression,7004
GRCh38___MAP3K3,GRCh38___ENSG00000198909,Gene Expression,10814
GRCh38___STRADA,GRCh38___ENSG00000266173,Gene Expression,7245
GRCh38___LIMD2,GRCh38___ENSG00000136490,Gene Expression,74117
