,feature_types
RRN3,Gene Expression
AC126763.1,Gene Expression
NPIPA5,Gene Expression
MPV17L,Gene Expression
MARF1,Gene Expression
AC026401.1,Gene Expression
NDE1,Gene Expression
AC026401.3,Gene Expression
MYH11,Gene Expression
AF001548.2,Gene Expression
AF001548.1,Gene Expression
AC130651.1,Gene Expression
ABCC1,Gene Expression
ABCC6,Gene Expression
AC136624.1,Gene Expression
NOMO3,Gene Expression
AC138969.1,Gene Expression
NPIPA7,Gene Expression
XYLT1,Gene Expression
NPIPA8,Gene Expression
AC126755.2,Gene Expression
NOMO2,Gene Expression
RPS15A,Gene Expression
ARL6IP1,Gene Expression
AC138811.1,Gene Expression
SMG1,Gene Expression
AC092287.1,Gene Expression
TMC7,Gene Expression
AC099518.4,Gene Expression
AC099518.2,Gene Expression
COQ7,Gene Expression
AC099518.1,Gene Expression
AC099518.6,Gene Expression
ITPRIPL2,Gene Expression
AC099518.5,Gene Expression
SYT17,Gene Expression
TMC5,Gene Expression
AC130456.4,Gene Expression
AC130456.3,Gene Expression
AC130456.5,Gene Expression
GDE1,Gene Expression
CCP110,Gene Expression
VPS35L,Gene Expression
AC002550.2,Gene Expression
KNOP1,Gene Expression
AC002550.1,Gene Expression
IQCK,Gene Expression
GPRC5B,Gene Expression
ACSM5,Gene Expression
ACSM3,Gene Expression
ACSM1,Gene Expression
THUMPD1,Gene Expression
AC004381.1,Gene Expression
ERI2,Gene Expression
REXO5,Gene Expression
DCUN1D3,Gene Expression
LYRM1,Gene Expression
DNAH3,Gene Expression
AC008551.1,Gene Expression
TMEM159,Gene Expression
ANKS4B,Gene Expression
CRYM,Gene Expression
NPIPB3,Gene Expression
METTL9,Gene Expression
IGSF6,Gene Expression
OTOA,Gene Expression
AC092375.2,Gene Expression
NPIPB4,Gene Expression
AC092119.2,Gene Expression
UQCRC2,Gene Expression
PDZD9,Gene Expression
AC092119.3,Gene Expression
MOSMO,Gene Expression
AC009019.1,Gene Expression
VWA3A,Gene Expression
SDR42E2,Gene Expression
EEF2K,Gene Expression
AC009034.1,Gene Expression
POLR3E,Gene Expression
CDR2,Gene Expression
AC092338.1,Gene Expression
AC092338.2,Gene Expression
NPIPB5,Gene Expression
AC009021.2,Gene Expression
AC009021.1,Gene Expression
USP31,Gene Expression
SCNN1B,Gene Expression
COG7,Gene Expression
GGA2,Gene Expression
EARS2,Gene Expression
UBFD1,Gene Expression
NDUFAB1,Gene Expression
PALB2,Gene Expression
DCTN5,Gene Expression
PLK1,Gene Expression
AC008870.3,Gene Expression
ERN2,Gene Expression
PRKCB,Gene Expression
CACNG3,Gene Expression
RBBP6,Gene Expression
TNRC6A,Gene Expression
LINC01567,Gene Expression
AC008731.1,Gene Expression
SLC5A11,Gene Expression
ARHGAP17,Gene Expression
LINC02175,Gene Expression
LCMT1,Gene Expression
LCMT1-AS2,Gene Expression
AQP8,Gene Expression
ZKSCAN2,Gene Expression
AC008741.1,Gene Expression
LINC02195,Gene Expression
LINC02129,Gene Expression
KDM8,Gene Expression
AC109449.1,Gene Expression
NSMCE1,Gene Expression
AC106739.1,Gene Expression
IL4R,Gene Expression
IL21R,Gene Expression
IL21R-AS1,Gene Expression
GTF3C1,Gene Expression
AC016597.1,Gene Expression
GSG1L,Gene Expression
XPO6,Gene Expression
AC138904.3,Gene Expression
AC138904.1,Gene Expression
SBK1,Gene Expression
NPIPB6,Gene Expression
EIF3CL,Gene Expression
AC138894.2,Gene Expression
NPIPB7,Gene Expression
CLN3,Gene Expression
APOBR,Gene Expression
IL27,Gene Expression
NUPR1,Gene Expression
AC020765.2,Gene Expression
SGF29,Gene Expression
SULT1A2,Gene Expression
SULT1A1,Gene Expression
NPIPB8,Gene Expression
EIF3C,Gene Expression
NPIPB9,Gene Expression
AC145285.2,Gene Expression
AC145285.3,Gene Expression
AC145285.6,Gene Expression
ATXN2L,Gene Expression
AC133550.2,Gene Expression
TUFM,Gene Expression
SH2B1,Gene Expression
ATP2A1,Gene Expression
ATP2A1-AS1,Gene Expression
RABEP2,Gene Expression
CD19,Gene Expression
NFATC2IP,Gene Expression
AC109460.2,Gene Expression
AC109460.1,Gene Expression
SPNS1,Gene Expression
LAT,Gene Expression
AC109460.4,Gene Expression
AC009093.2,Gene Expression
AC009093.1,Gene Expression
AC009093.5,Gene Expression
AC009093.4,Gene Expression
AC009093.6,Gene Expression
NPIPB11,Gene Expression
BOLA2,Gene Expression
SLX1B,Gene Expression
SULT1A4,Gene Expression
NPIPB12,Gene Expression
SPN,Gene Expression
QPRT,Gene Expression
C16orf54,Gene Expression
AC009133.3,Gene Expression
ZG16,Gene Expression
KIF22,Gene Expression
AC009133.4,Gene Expression
MAZ,Gene Expression
AC009133.2,Gene Expression
AC009133.1,Gene Expression
PRRT2,Gene Expression
PAGR1,Gene Expression
MVP,Gene Expression
CDIPT,Gene Expression
SEZ6L2,Gene Expression
ASPHD1,Gene Expression
KCTD13,Gene Expression
AC120114.1,Gene Expression
TMEM219,Gene Expression
TAOK2,Gene Expression
HIRIP3,Gene Expression
INO80E,Gene Expression
DOC2A,Gene Expression
AC093512.2,Gene Expression
ALDOA,Gene Expression
AC093512.1,Gene Expression
PPP4C,Gene Expression
TBX6,Gene Expression
YPEL3,Gene Expression
AC012645.1,Gene Expression
GDPD3,Gene Expression
AC012645.2,Gene Expression
AC012645.4,Gene Expression
MAPK3,Gene Expression
CORO1A,Gene Expression
AC012645.3,Gene Expression
BOLA2B,Gene Expression
SLX1A,Gene Expression
SULT1A3,Gene Expression
NPIPB13,Gene Expression
CD2BP2,Gene Expression
TBC1D10B,Gene Expression
MYLPF,Gene Expression
ZNF48,Gene Expression
ZNF771,Gene Expression
DCTPP1,Gene Expression
SEPHS2,Gene Expression
ITGAL,Gene Expression
AC116348.3,Gene Expression
AC116348.1,Gene Expression
AC116348.2,Gene Expression
ZNF768,Gene Expression
ZNF747,Gene Expression
AC002310.1,Gene Expression
ZNF764,Gene Expression
ZNF688,Gene Expression
AC002310.2,Gene Expression
ZNF785,Gene Expression
AC093249.2,Gene Expression
ZNF689,Gene Expression
PRR14,Gene Expression
FBRS,Gene Expression
AC093249.6,Gene Expression
SRCAP,Gene Expression
TMEM265,Gene Expression
PHKG2,Gene Expression
CCDC189,Gene Expression
RNF40,Gene Expression
ZNF629,Gene Expression
AC106886.3,Gene Expression
BCL7C,Gene Expression
MIR762HG,Gene Expression
CTF1,Gene Expression
FBXL19-AS1,Gene Expression
FBXL19,Gene Expression
ORAI3,Gene Expression
AC135048.3,Gene Expression
SETD1A,Gene Expression
HSD3B7,Gene Expression
STX1B,Gene Expression
STX4,Gene Expression
AC135050.3,Gene Expression
AC135050.1,Gene Expression
ZNF668,Gene Expression
AC135050.4,Gene Expression
ZNF646,Gene Expression
PRSS53,Gene Expression
VKORC1,Gene Expression
BCKDK,Gene Expression
KAT8,Gene Expression
AC009088.3,Gene Expression
PRSS8,Gene Expression
PRSS36,Gene Expression
FUS,Gene Expression
AC009088.2,Gene Expression
AC009088.1,Gene Expression
PYCARD,Gene Expression
PYCARD-AS1,Gene Expression
TRIM72,Gene Expression
PYDC1,Gene Expression
ITGAM,Gene Expression
ITGAX,Gene Expression
ITGAD,Gene Expression
COX6A2,Gene Expression
AC026471.5,Gene Expression
ZNF843,Gene Expression
AC026471.4,Gene Expression
AC026471.1,Gene Expression
ARMC5,Gene Expression
TGFB1I1,Gene Expression
SLC5A2,Gene Expression
AC026471.3,Gene Expression
AC026471.2,Gene Expression
AHSP,Gene Expression
AC074050.2,Gene Expression
AC074050.4,Gene Expression
AC074050.3,Gene Expression
ZNF720,Gene Expression
ZNF267,Gene Expression
IGHV1OR16-1,Gene Expression
IGHV1OR16-3,Gene Expression
IGHV3OR16-9,Gene Expression
TP53TG3D,Gene Expression
AC138907.7,Gene Expression
TP53TG3,Gene Expression
IGHV2OR16-5,Gene Expression
IGHV3OR16-15,Gene Expression
IGHV3OR16-6,Gene Expression
IGHV3OR16-10,Gene Expression
IGHV1OR16-4,Gene Expression
IGHV3OR16-8,Gene Expression
AC136944.1,Gene Expression
AC136944.2,Gene Expression
IGHV3OR16-12,Gene Expression
IGHV3OR16-13,Gene Expression
IGHV3OR16-11,Gene Expression
IGHV3OR16-7,Gene Expression
SHCBP1,Gene Expression
AC092368.3,Gene Expression
VPS35,Gene Expression
ORC6,Gene Expression
MYLK3,Gene Expression
C16orf87,Gene Expression
GPT2,Gene Expression
DNAJA2,Gene Expression
AC018845.3,Gene Expression
NETO2,Gene Expression
ITFG1-AS1,Gene Expression
ITFG1,Gene Expression
AC007494.2,Gene Expression
AC007533.1,Gene Expression
PHKB,Gene Expression
LINC02133,Gene Expression
ABCC11,Gene Expression
LONP2,Gene Expression
SIAH1,Gene Expression
N4BP1,Gene Expression
AC026470.2,Gene Expression
AC023813.1,Gene Expression
AC007611.1,Gene Expression
AC023813.3,Gene Expression
AC007614.1,Gene Expression
ZNF423,Gene Expression
CNEP1R1,Gene Expression
AC007610.1,Gene Expression
HEATR3,Gene Expression
TENT4B,Gene Expression
ADCY7,Gene Expression
BRD7,Gene Expression
AC007493.2,Gene Expression
AC007493.1,Gene Expression
NKD1,Gene Expression
AC007608.2,Gene Expression
AC007608.1,Gene Expression
AC007608.3,Gene Expression
SNX20,Gene Expression
NOD2,Gene Expression
AC007728.2,Gene Expression
CYLD,Gene Expression
AC007728.1,Gene Expression
LINC02168,Gene Expression
LINC02128,Gene Expression
SALL1,Gene Expression
HNRNPA1P48,Gene Expression
AC007333.2,Gene Expression
TOX3,Gene Expression
AC007906.2,Gene Expression
CHD9,Gene Expression
AC007342.4,Gene Expression
AC007342.5,Gene Expression
RBL2,Gene Expression
AKTIP,Gene Expression
RPGRIP1L,Gene Expression
FTO,Gene Expression
AC007496.2,Gene Expression
AC007496.1,Gene Expression
IRX3,Gene Expression
AC018553.2,Gene Expression
AC018553.1,Gene Expression
CRNDE,Gene Expression
IRX5,Gene Expression
AC109462.1,Gene Expression
IRX6,Gene Expression
MMP2,Gene Expression
AC007336.2,Gene Expression
MMP2-AS1,Gene Expression
LPCAT2,Gene Expression
AC007336.1,Gene Expression
CAPNS2,Gene Expression
SLC6A2,Gene Expression
CES1,Gene Expression
AC007495.1,Gene Expression
GNAO1,Gene Expression
AC009102.2,Gene Expression
AMFR,Gene Expression
AC092140.1,Gene Expression
NUDT21,Gene Expression
OGFOD1,Gene Expression
AC092140.2,Gene Expression
BBS2,Gene Expression
MT3,Gene Expression
MT2A,Gene Expression
AC026461.3,Gene Expression
MT1E,Gene Expression
MT1M,Gene Expression
MT1A,Gene Expression
MT1B,Gene Expression
MT1F,Gene Expression
MT1G,Gene Expression
MT1H,Gene Expression
MT1X,Gene Expression
AC106779.1,Gene Expression
NUP93,Gene Expression
SLC12A3,Gene Expression
HERPUD1,Gene Expression
CETP,Gene Expression
NLRC5,Gene Expression
AC023825.2,Gene Expression
AC009090.2,Gene Expression
CPNE2,Gene Expression
RSPRY1,Gene Expression
ARL2BP,Gene Expression
AC009090.3,Gene Expression
PLLP,Gene Expression
CCL22,Gene Expression
CX3CL1,Gene Expression
CCL17,Gene Expression
CIAPIN1,Gene Expression
COQ9,Gene Expression
POLR2C,Gene Expression
DOK4,Gene Expression
CCDC102A,Gene Expression
ADGRG5,Gene Expression
ADGRG1,Gene Expression
AC018552.3,Gene Expression
ADGRG3,Gene Expression
AC018552.2,Gene Expression
DRC7,Gene Expression
KATNB1,Gene Expression
KIFC3,Gene Expression
AC092118.2,Gene Expression
AC092118.1,Gene Expression
CNGB1,Gene Expression
TEPP,Gene Expression
ZNF319,Gene Expression
USB1,Gene Expression
MMP15,Gene Expression
CFAP20,Gene Expression
AC026771.1,Gene Expression
AC009107.2,Gene Expression
CSNK2A2,Gene Expression
CCDC113,Gene Expression
GINS3,Gene Expression
AC009118.2,Gene Expression
LINC02137,Gene Expression
NDRG4,Gene Expression
SETD6,Gene Expression
CNOT1,Gene Expression
AC009118.3,Gene Expression
SLC38A7,Gene Expression
GOT2,Gene Expression
AC092378.1,Gene Expression
CDH8,Gene Expression
AC012174.1,Gene Expression
AC138305.1,Gene Expression
AC092337.1,Gene Expression
AC012322.1,Gene Expression
CDH5,Gene Expression
LINC00920,Gene Expression
BEAN1,Gene Expression
BEAN1-AS1,Gene Expression
TK2,Gene Expression
AC010542.2,Gene Expression
AC010542.4,Gene Expression
CKLF,Gene Expression
AC010542.5,Gene Expression
CMTM1,Gene Expression
CMTM2,Gene Expression
AC010542.1,Gene Expression
CMTM3,Gene Expression
CMTM4,Gene Expression
DYNC1LI2,Gene Expression
AC018557.1,Gene Expression
AC018557.2,Gene Expression
AC044802.1,Gene Expression
TERB1,Gene Expression
NAE1,Gene Expression
AC044802.2,Gene Expression
PDP2,Gene Expression
CDH16,Gene Expression
RRAD,Gene Expression
CES2,Gene Expression
CES3,Gene Expression
CES4A,Gene Expression
CBFB,Gene Expression
C16orf70,Gene Expression
B3GNT9,Gene Expression
TRADD,Gene Expression
FBXL8,Gene Expression
HSF4,Gene Expression
NOL3,Gene Expression
KIAA0895L,Gene Expression
EXOC3L1,Gene Expression
E2F4,Gene Expression
ELMO3,Gene Expression
LRRC29,Gene Expression
TMEM208,Gene Expression
FHOD1,Gene Expression
SLC9A5,Gene Expression
PLEKHG4,Gene Expression
KCTD19,Gene Expression
LRRC36,Gene Expression
TPPP3,Gene Expression
ZDHHC1,Gene Expression
HSD11B2,Gene Expression
AC009061.1,Gene Expression
ATP6V0D1,Gene Expression
AC009061.2,Gene Expression
AGRP,Gene Expression
AC027682.6,Gene Expression
RIPOR1,Gene Expression
AC027682.5,Gene Expression
AC027682.2,Gene Expression
AC027682.3,Gene Expression
AC027682.4,Gene Expression
AC027682.1,Gene Expression
CTCF,Gene Expression
AC009095.1,Gene Expression
CARMIL2,Gene Expression
ACD,Gene Expression
PARD6A,Gene Expression
ENKD1,Gene Expression
C16orf86,Gene Expression
GFOD2,Gene Expression
RANBP10,Gene Expression
TSNAXIP1,Gene Expression
CENPT,Gene Expression
THAP11,Gene Expression
NUTF2,Gene Expression
EDC4,Gene Expression
NRN1L,Gene Expression
PSKH1,Gene Expression
CTRL,Gene Expression
PSMB10,Gene Expression
LCAT,Gene Expression
SLC12A4,Gene Expression
DPEP3,Gene Expression
DPEP2,Gene Expression
DUS2,Gene Expression
DPEP2NB,Gene Expression
DDX28,Gene Expression
NFATC3,Gene Expression
AC020978.3,Gene Expression
AC020978.5,Gene Expression
ESRP2,Gene Expression
PLA2G15,Gene Expression
AC020978.2,Gene Expression
SLC7A6,Gene Expression
SLC7A6OS,Gene Expression
PRMT7,Gene Expression
SMPD3,Gene Expression
ZFP90,Gene Expression
CDH3,Gene Expression
AC126773.4,Gene Expression
CDH1,Gene Expression
TANGO6,Gene Expression
AC009137.1,Gene Expression
HAS3,Gene Expression
CHTF8,Gene Expression
UTP4,Gene Expression
SNTB2,Gene Expression
VPS4A,Gene Expression
COG8,Gene Expression
PDF,Gene Expression
NIP7,Gene Expression
TMED6,Gene Expression
TERF2,Gene Expression
CYB5B,Gene Expression
NFAT5,Gene Expression
NQO1,Gene Expression
AC092115.2,Gene Expression
AC092115.3,Gene Expression
NOB1,Gene Expression
WWP2,Gene Expression
CLEC18A,Gene Expression
PDPR,Gene Expression
AC009060.1,Gene Expression
CLEC18C,Gene Expression
EXOSC6,Gene Expression
DDX19B,Gene Expression
DDX19A,Gene Expression
ST3GAL2,Gene Expression
AC012184.1,Gene Expression
COG4,Gene Expression
SF3B3,Gene Expression
IL34,Gene Expression
VAC14,Gene Expression
AC020763.1,Gene Expression
VAC14-AS1,Gene Expression
HYDIN,Gene Expression
CMTR2,Gene Expression
AC106736.1,Gene Expression
CALB2,Gene Expression
LINC02136,Gene Expression
ZNF23,Gene Expression
AC010547.1,Gene Expression
ZNF19,Gene Expression
CHST4,Gene Expression
TAT,Gene Expression
TAT-AS1,Gene Expression
MARVELD3,Gene Expression
PHLPP2,Gene Expression
AC009097.1,Gene Expression
AC009097.4,Gene Expression
AC009097.3,Gene Expression
AP1G1,Gene Expression
ATXN1L,Gene Expression
IST1,Gene Expression
ZNF821,Gene Expression
PKD1L3,Gene Expression
DHODH,Gene Expression
TXNL4B,Gene Expression
HP,Gene Expression
HPR,Gene Expression
AC009087.1,Gene Expression
DHX38,Gene Expression
PMFBP1,Gene Expression
AC009075.1,Gene Expression
LINC01572,Gene Expression
AC004158.1,Gene Expression
AC004943.2,Gene Expression
AC004943.3,Gene Expression
ZFHX3,Gene Expression
AC004943.1,Gene Expression
AC116667.1,Gene Expression
HCCAT5,Gene Expression
AC116667.2,Gene Expression
AC140912.1,Gene Expression
AC138627.1,Gene Expression
AC009120.4,Gene Expression
AC009120.5,Gene Expression
PSMD7,Gene Expression
AC009120.3,Gene Expression
AC009053.2,Gene Expression
NPIPB15,Gene Expression
CLEC18B,Gene Expression
AC009053.3,Gene Expression
GLG1,Gene Expression
RFWD3,Gene Expression
MLKL,Gene Expression
FA2H,Gene Expression
WDR59,Gene Expression
ZNRF1,Gene Expression
AC099508.1,Gene Expression
LDHD,Gene Expression
ZFP1,Gene Expression
CTRB1,Gene Expression
BCAR1,Gene Expression
CFDP1,Gene Expression
AC009163.7,Gene Expression
TMEM170A,Gene Expression
CHST6,Gene Expression
AC009163.1,Gene Expression
CHST5,Gene Expression
TMEM231,Gene Expression
AC025287.2,Gene Expression
GABARAPL2,Gene Expression
AC025287.3,Gene Expression
ADAT1,Gene Expression
TERF2IP,Gene Expression
AC025287.4,Gene Expression
DUXB,Gene Expression
CPHXL,Gene Expression
CNTNAP4,Gene Expression
AC108125.1,Gene Expression
LINC02125,Gene Expression
AC106729.1,Gene Expression
MON1B,Gene Expression
SYCE1L,Gene Expression
AC009139.2,Gene Expression
AC009139.1,Gene Expression
NUDT7,Gene Expression
AC092134.1,Gene Expression
VAT1L,Gene Expression
WWOX,Gene Expression
WWOX-AS1,Gene Expression
AC046158.1,Gene Expression
AC009145.3,Gene Expression
AC092376.2,Gene Expression
AC092376.1,Gene Expression
MAF,Gene Expression
AC009159.2,Gene Expression
AC009159.3,Gene Expression
AC009159.1,Gene Expression
LINC01229,Gene Expression
MAFTRR,Gene Expression
LINC01228,Gene Expression
AC105411.1,Gene Expression
DYNLRB2,Gene Expression
AC108097.1,Gene Expression
LINC01227,Gene Expression
CDYL2,Gene Expression
AC099313.1,Gene Expression
CMC2,Gene Expression
CENPN,Gene Expression
ATMIN,Gene Expression
C16orf46,Gene Expression
AC092718.2,Gene Expression
AC092718.5,Gene Expression
AC092718.1,Gene Expression
GCSH,Gene Expression
BCO1,Gene Expression
AC009148.1,Gene Expression
GAN,Gene Expression
CMIP,Gene Expression
AC099524.1,Gene Expression
PLCG2,Gene Expression
AC092142.2,Gene Expression
SDR42E1,Gene Expression
HSD17B2,Gene Expression
AC092142.1,Gene Expression
MPHOSPH6,Gene Expression
CDH13,Gene Expression
AC009063.2,Gene Expression
AC009119.1,Gene Expression
HSBP1,Gene Expression
MLYCD,Gene Expression
AC009119.2,Gene Expression
OSGIN1,Gene Expression
NECAB2,Gene Expression
SLC38A8,Gene Expression
MBTPS1,Gene Expression
AC040169.1,Gene Expression
HSDL1,Gene Expression
DNAAF1,Gene Expression
TAF1C,Gene Expression
ADAD2,Gene Expression
AC009123.1,Gene Expression
KCNG4,Gene Expression
WFDC1,Gene Expression
ATP2C2,Gene Expression
ATP2C2-AS1,Gene Expression
AC022165.1,Gene Expression
COTL1,Gene Expression
AC092145.1,Gene Expression
KLHL36,Gene Expression
USP10,Gene Expression
CRISPLD2,Gene Expression
ZDHHC7,Gene Expression
KIAA0513,Gene Expression
LINC02139,Gene Expression
GSE1,Gene Expression
LINC00311,Gene Expression
AC133540.1,Gene Expression
AC092127.2,Gene Expression
AC092127.1,Gene Expression
GINS2,Gene Expression
C16orf74,Gene Expression
AC018695.2,Gene Expression
EMC8,Gene Expression
AC018695.4,Gene Expression
AC018695.3,Gene Expression
COX4I1,Gene Expression
IRF8,Gene Expression
AC092723.5,Gene Expression
LINC02132,Gene Expression
AC092723.4,Gene Expression
AC092723.1,Gene Expression
AC092723.3,Gene Expression
AC135012.1,Gene Expression
LINC01082,Gene Expression
FENDRR,Gene Expression
FOXF1,Gene Expression
AC009108.3,Gene Expression
MTHFSD,Gene Expression
FOXC2,Gene Expression
LINC02188,Gene Expression
LINC02181,Gene Expression
C16orf95,Gene Expression
AC010531.6,Gene Expression
FBXO31,Gene Expression
AC010531.5,Gene Expression
MAP1LC3B,Gene Expression
AC010531.3,Gene Expression
ZCCHC14,Gene Expression
AC092720.1,Gene Expression
JPH3,Gene Expression
AC010536.3,Gene Expression
AC010536.1,Gene Expression
KLHDC4,Gene Expression
AC126696.3,Gene Expression
AC126696.1,Gene Expression
SLC7A5,Gene Expression
AC126696.2,Gene Expression
CA5A,Gene Expression
BANP,Gene Expression
AC134312.4,Gene Expression
AC134312.3,Gene Expression
AC134312.1,Gene Expression
AC134312.2,Gene Expression
AC134312.5,Gene Expression
AC134312.6,Gene Expression
LINC02182,Gene Expression
AC138512.1,Gene Expression
ZNF469,Gene Expression
ZFPM1,Gene Expression
AC116552.1,Gene Expression
ZC3H18,Gene Expression
IL17C,Gene Expression
CYBA,Gene Expression
MVD,Gene Expression
SNAI3-AS1,Gene Expression
SNAI3,Gene Expression
RNF166,Gene Expression
AC138028.3,Gene Expression
CTU2,Gene Expression
AC138028.6,Gene Expression
PIEZO1,Gene Expression
AC138028.4,Gene Expression
AC138028.2,Gene Expression
AC138028.5,Gene Expression
AC138028.1,Gene Expression
CDT1,Gene Expression
APRT,Gene Expression
GALNS,Gene Expression
TRAPPC2L,Gene Expression
PABPN1L,Gene Expression
CBFA2T3,Gene Expression
AC092384.2,Gene Expression
AC092384.1,Gene Expression
AC135782.2,Gene Expression
AC135782.1,Gene Expression
ACSF3,Gene Expression
AC135782.3,Gene Expression
LINC00304,Gene Expression
LINC02138,Gene Expression
CDH15,Gene Expression
SLC22A31,Gene Expression
AC009113.1,Gene Expression
ZNF778,Gene Expression
AC009113.2,Gene Expression
